,Title,Director,Cast,Genre,Date,Year
3839,Krishnashtami,Vasu Varma,"Sunil, Nikki Galrani, Dimple Chopade",Family Drama,19/FEB/2015,2015
3840,Malupu,Sathya Prabhas Pinisetty,"Aadhi, Nikki Galrani, Mithun Chakraborty, Richa Pallod, Pasupathy",Action,19/FEB/2015,2015
3841,Kshanam,Ravikanth,"Adivi Sesh, Adah Sharma, Anasuya",Mystery-Thriller,26/FEB/2015,2015
3842,Eluka Majaka,Relangi Narasimha Rao,"Vennela Kishore, Brahmanandam, Pavani",Comedy,26/FEB/2015,2015
3843,Padesave,Chuniya,"Karthik Raju, Nithya Shetty, Sam",Romance,26/FEB/2015,2015
3844,Terror,Sathish Kasetty,"Srikanth, Nikhita Thukral, Prudhvi, Nassar",Action,26/FEB/2015,2015
3845,Veeri Veeri Gu,M V Sagar,"Rudra, Venne, Raghu Babu",Horror,26/FEB/2015,2015
3846,Guntur Talkies,Praveen Sattaru,"Siddu Jonnalagadda, Rashmi Gautham, Shraddha Das",Black comedy / Erotic,4/MAR/2015,2015
3847,Kalyana Vaibhogame,Nandini Reddy,"Naga Shourya, Malavika Nair, Raasi",love,4/MAR/2015,2015
3848,Shourya,K. Dasaradh,"Manoj Manchu, Regina Cassandra, Prakash Raj",Action-Love,4/MAR/2015,2015
3849,Tuntari,Kumar Nagendra,"Nara Rohit, Latha Hegde, Kabir Duhan Singh",Comedy romance,11/MAR/2015,2015
3850,Tulasi Dalam,R. P. Patnaik,"Nischal, Vandana Gupta, R. P. Patnaik",Horror,11/MAR/2015,2015
3851,O Sthree Repu Raa,T. Ashok Kumar Reddy,"Ashish Gandhi, Diksha Panth, Shruthi Mol",Horror,11/MAR/2015,2015
3852,Nenu Maa College,S. S. Dhakar,"Manoj Nandan, Sisha, Srihari",Comedy romance,11/MAR/2015,2015
3853,Drishya Kavyam,Bella Ramakrishna Reddy,"Ram Karthik, Kashmira Kulkarni",Romance,18/MAR/2015,2015
3854,Seesa,Mohamad Issack,"Sivaji, Chaswa, Namratha",Horror,18/MAR/2015,2015
3855,Dandakaranyam,R. Narayana Murthy,"R. Narayana Murthy, Gaddar",Drama,18/MAR/2015,2015
3856,Romance With Finance,Rajju Kumpatla,"Merina Abraham, Satish Babu",Romance,18/MAR/2015,2015
3857,Run,Anil Kanneganti,"Sundeep Kishan, Anisha Ambrose, Bobby Simha",Thriller,23/MAR/2015,2015
3858,Oopiri,Vamsi Paidipally,"Nagarjuna, Karthi, Tamannaah",Comedy-drama,25/MAR/2015,2015
3859,Mohabbat Mein,Mahesh Surya,"Karthik, Hamida",Romance,25/MAR/2015,2015
3860,Ammayi Aaruguru,G. Muraliprasad,"Ramachandra, Aashalatha, Ravi",Horror,25/MAR/2015,2015
3861,Meera,Santhosh Eubulus,"Aditya Anand, Ishika Singh",Horror,25/MAR/2015,2015
3862,7 To 4,Vijay Sekhar Sankranth,"Anand Bachu, Raj Bala, Radhika, Loukya",Thriller,1/APR/2015,2015
3863,Attack,Ram Gopal Varma,"Manchu Manoj, Surabhi, Jagapati Babu, Prakash Raj, Abhimanyu Singh, Poonam Kaur",Action,1/APR/2015,2015
3864,Savitri,Pavan Sadineni,"Nara Rohit, Nanditha Raj",Drama,1/APR/2015,2015
3865,Sardaar Gabbar Singh,K. S. Ravindra,"Pawan Kalyan, Kajal Aggarwal, Sharad Kelkar",Action,8/APR/2015,2015
3866,Eedo Rakam Aado Rakam,G. Nageswara Reddy,"Manchu Vishnu, Raj Tarun, Hebah Patel, Sonarika Bhadoria",Romance,14/APR/2015,2015
3867,Sarrainodu,Boyapati Srinu,"Allu Arjun, Srikanth, Aadhi Pinisetty, Rakul Preet Singh, Catherine Tresa, Pradeep Rawat, Sai Kumar, Jayaprakash, Brahmanandam",Action/romance,22/APR/2015,2015
3868,Raja Cheyyi Vesthe,Pradeep,"Nara Rohit, Isha Talwar, Taraka Ratna",Action/Drama,29/APR/2015,2015
3869,Supreme,Anil Ravipudi,"Sai Dharam Tej, Raashi Khanna, Master Mikhail Gandhi, Rajendra Prasad, Kabir Duhan Singh, Ravi Kishan, Sai Kumar",Action,5/MAY/2015,2015
3870,Brahmotsavam,Srikanth Addala,"Mahesh Babu, Kajal Aggarwal, Samantha Ruth Prabhu, Pranitha Subhash",Family Drama,20/MAY/2015,2015
3871,A Aa,Trivikram Srinivas,"Nithiin, Samantha, Naresh, Srinivas Avasarala",Romance / Drama,2/JUN/2015,2015
3872,Sri Sri,Muppalaneni Siva,"Krishna, Vijay Nirmala",Drama,3/JUN/2015,2015
3873,Okka Ammayi Thappa,Rajasimha Tadinada,"Sundeep Kishan, Nithya Menen, Ravi Kishan, Ali, Prudhviraj",Romantic thriller,10/JUN/2015,2015
3874,Parvathipuram,M.A. Chowdary,"Madan, Srushti Dange, Tapashree, Kushi Sharma, Leena David",Horror,10/JUN/2015,2015
3875,Right Right,J. B. Murali krishna,"Sumanth Ashwin, Pooja Jhaveri, Pavani Gangireddy, Nassar",Comedy drama,10/JUN/2015,2015
3876,Gentleman,Mohan Krishna Indraganti,"Nani, Niveda Thomas, Surabhi, Srinivas Avasarala, Tanikella Bharani, Vennela Kishore",Romance,17/JUN/2015,2015
3877,Premikudu,Kala Sundeep,"Maanas N, Sanam Shetty, Shakalaka Shankar, Paruchuri Venkateswara Rao, Bhanu Chander",Love Crime,17/JUN/2015,2015
3878,Meeku Meere Maaku Meme,Hussain Sha Kiran,"Tarun Shetty, Avantika Mishra, Jenny Honey, Kireeti Damaraju",Romantic Comedy,17/JUN/2015,2015
3879,Guppedantha Prema,Vinod Lingala,"Sai Ronak, Aditi Singh",,17/JUN/2015,2015
3880,Oka Manasu,Rama Raju Gottimukkala,"Naga Shourya, Niharika Konidela, Rao Ramesh, Srinivas Avasarala",Romance,24/JUN/2015,2015
3881,Kundanapu Bomma,Mullapudi Vara,"Chandini Chowdary, Sudhakar Komakula, Sudheer Varma, Aalapati Lakshmi",Drama,24/JUN/2015,2015
3882,Rajadhi Raja,Cheran,"Sharwanand, Nithya Menen, Prakash Raj, Santhanam",Rom-com,24/JUN/2015,2015
3883,Arddhanaari,Bhanushanker Chowdary,"Arjun Yajath, Mouryaani",Action / Drama,1.0/JUL/2016,2016
3884,Rojulu Marayi,Murali Krishna Mudidani,"Chethan, Parwatheesham, Kruthika Jayakumar, Tejaswini, Raja Ravindra",Romance,1.0/JUL/2016,2016
3885,Antham,GSSP Kalyan,"Rashmi Gautam, Charandeep",Thriller,nan/JUL/2016,2016
3886,Iddaram,Sudhakar Vinukonda,"Sanjeev, Sai Krupa",Romantic thriller,8.0/JUL/2016,2016
3887,Selfie Raja,G. Eshwar Reddy,"Allari Naresh, Sakshi Chaudhary, Kamna Jethmalani, Saptagiri",Comedy,15.0/JUL/2016,2016
3888,Nayaki,Goverdhan Reddy,"Trisha, Ganesh Venkatraman",Horror,15.0/JUL/2016,2016
3889,Pelli Choopulu,Tharun Bhascker Dhaassyam,"Vijay Deverakonda, Ritu Varma",Romantic comedy,29.0/JUL/2016,2016
3890,Jakkanna,Vamshi Krishna Akella,"Sunil, Mannara Chopra, Kabir Duhan Singh, Posani Krishna Murali",Comedy,29.0/JUL/2016,2016
3891,Manamantha,Chandra Sekhar Yeleti,"Mohanlal, Gouthami, Viswant Duddumpudi, Anisha Ambrose, S. P. Balasubrahmanyam",Drama,5.0/AUG/2016,2016
3892,Srirastu Subhamastu,Parasuram,"Allu Sirish, Lavanya Tripathi, Prakash Raj, Sumalatha, Rao Ramesh, Sumithra, Subbaraju",Romance,5.0/AUG/2016,2016
3893,Babu Bangaram,Maruthi,"Venkatesh, Nayanthara",Action,12.0/AUG/2016,2016
3894,Bommala Ramaram,Nishanth Pudhari,"Soori, Roopa Reddy, Priyadarshi Pullikonda, Thiruveer",Crime thriller,12.0/AUG/2016,2016
3895,Thikka,Sunil Reddy,"Sai Dharam Tej, Mannara Chopra, Rajendra Prasad",Action Comedy,13.0/AUG/2016,2016
3896,Aatadukundam Raa,G. Nageswara Reddy,"Sushanth, Sonam Bajwa",Romance,19.0/AUG/2016,2016
3897,Chuttalabbai,Veerabhadram Chowdary,"Aadi, Namitha Pramod",Action Comedy,19.0/AUG/2016,2016
3898,Banthi Poola Janaki,Nellutla Praveen Chander,"Dhanraj, Diksha Panth, Sudheer, Chandra",Comedy Thriller,26.0/AUG/2016,2016
3899,Avasaraniko Abaddam,Suresh KV,"Lokesh, Rajesh, Shashank, Geethanjali",Thriller,26.0/AUG/2016,2016
3900,Janatha Garage,Koratala Siva,"Mohanlal, Jr. NTR, Samantha Ruth Prabhu, Nithya Menon",Action,1.0/SEP/2016,2016
3901,Jyo Achyutananda,Srinivas Avasarala,"Nara Rohit, Naga Shourya, Regina Cassandra",Romantic Comedy,9.0/SEP/2016,2016
3902,Hora Hori,Teja,"Dileep Reddy, Daksha Nagarkar",Romantic Drama,11.0/SEP/2016,2016
3903,Nirmala Convent,G. Naga Koteshwar Rao,"Roshan Meka, Shriya Sharma, Nagarjuna",Romantic Comedy,16.0/SEP/2016,2016
3904,Siddhartha,K V Dayanand Reddy,"Sagar, Sakshi Chaudhary, Kota Srinivasa Rao",Action Thriller,16.0/SEP/2016,2016
3905,Majnu,Virinchi Varma,"Nani, Anu Emmanuel",Romantic Drama,23.0/SEP/2016,2016
3906,Hyper,Santosh Srinivas,"Ram Pothineni, Raashi Khanna, Sathyaraj, Rao Ramesh",Action Comedy,30.0/SEP/2016,2016
3907,Nee Jathaleka,Lawerence Dasari,"Naga Shourya, Parul Gulati, Sarayu",Romantic Drama,1.0/OCT/2016,2016
3908,Jaguar,Mahadev,"Nikhil Gowda, Deepti Sati, Jagapati Babu, Rao Ramesh, Ramya Krishna, Sampath Raj, Adithya Menon",Action,6.0/OCT/2016,2016
3909,Abhinetri,A. L. Vijay,"Prabhu Deva, Tamannaah, Sonu Sood",Horror – Thriller,7.0/OCT/2016,2016
3910,Eedu Gold Ehe,Veeru Potla,"Sunil, Richa Panai, Sushma Raj, Naresh, Puneet Issar",Romantic Drama,7.0/OCT/2016,2016
3911,Mana Oori Ramayanam,Prakash Raj,"Prakash Raj, Priyamani, Prudhviraj, Satyadev",Drama,7.0/OCT/2016,2016
3912,Premam,Chandoo Mondeti,"Naga Chaitanya, Shruti Hassan, Anupama Parameswaran",Romantic Drama,7.0/OCT/2016,2016
3913,Ism,Puri Jagannadh,"Nandamuri Kalyan Ram, Aditi Arya, Jagapati Babu",Action,21.0/OCT/2016,2016
3914,L7,Mukund Pande,"Adith Arun, Pooja Jhaveri, Vennela Kishore",Horror,21.0/OCT/2016,2016
3915,Nandini Nursing Home,P. V. Giri,"Nawin Vijay Krishna, Nithya Naresh, Shakalaka Shankar, Shravya, Jaya Prakash Reddy, Vennela Kishore",Romantic comedy,21.0/OCT/2016,2016
3916,Shankara,Thathineni Satya Prakash,"Nara Rohith, Regina Cassandra, M. S. Narayana, John Vijay, Rajeev Kanakala",Action,21.0/OCT/2016,2016
3917,Thanu Vachenanta,Venkat Kancherla,"Rashmi Gautam, Teja Kakumanu, Dhanya Balakrishna, Chalaki Chanti",Horror comedy,21.0/OCT/2016,2016
3918,Aavu Puli Madhyalo Prabhas Pelli,Ravi Pachipala,"Kalakeya Prabhakar, Ravi Teja, Ashwini Chandrasekhar",Comedy,4.0/NOV/2016,2016
3919,Manalo Okkadu,R. P. Patnaik,"R. P. Patnaik, Anita Hassanandani Reddy",Drama,4.0/NOV/2016,2016
3920,Naruda Donoruda,Mallik Ram,"Sumanth, Pallavi Subhash, Tanikella Bharani",Romantic comedy,4.0/NOV/2016,2016
3921,Sahasam Swasaga Sagipo,Gautham Vasudev Menon,"Naga Chaitanya, Manjima Mohan, Baba Sehgal",Action – Romance,11.0/NOV/2016,2016
3922,Ekkadiki Pothavu Chinnavada,Vi Anand,"Nikhil Siddharth, Hebah Patel, Nandita Swetha, Avika Gor",Supernatural – Romance – Thriller,18.0/NOV/2016,2016
3923,Jayammu Nischayammu Raa,Shiva Raj Kanumuri,"Srinivasa Reddy, Shamna Kasim, Posani Krishna Murali, Sree Vishnu, Ravi Varma, Krishnudu",Comedy,25.0/NOV/2016,2016
3924,Aata,Raaj Kumar Reddy,"Shradda Das, Gayathri Iyer",Horror,25.0/NOV/2016,2016
3925,Araku Road Lo,Wassudev,"Sairam Shankar, Nikesha Patel",Action – Thriller,2.0/DEC/2016,2016
3926,Dhruva,Surender Reddy,"Ram Charan, Rakul Preet Singh, Aravind Swamy",Action – Thriller,9.0/DEC/2016,2016
3927,Meelo Evaru Koteeswarudu,E. Satthibabu,"Naveen Chandra, Shruti Sodhi, Saloni Aswani, Dhanraj, Raghu Babu, Prabhas Sreenu, Pruthviraj Balireddy",Romantic comedy,16.0/DEC/2016,2016
3928,Janaki Ramudu,T. Satish Babu,"Mouryaani, Naveen Sanjay, Arjun Yajath",Love Story,16.0/DEC/2016,2016
3929,Naanna Nenu Naa Boyfriends,Bhaskar Bandi,"Hebah Patel, Tejaswi Madivada, Noel Sean, Parvateesam, Rao Ramesh, Sana",Romantic comedy,16.0/DEC/2016,2016
3930,Saptagiri Express,Arun Pawar,"Saptagiri, Roshini Prakash, Ali, Posani Krishna Murali, Shayaji Shinde, Shakalaka Shankar",Romantic comedy,23.0/DEC/2016,2016
3931,Vangaveeti,Ram Gopal Varma,"Sandeep Kumar, Vamsi Nakkanti, Vamsi Changanti, Naina Ganguly, Kautilya",Political drama,23.0/DEC/2016,2016
3932,Sarabha,Narsimha Rao,"Aakash Kumar Sehdev, Mishti Chakravarty, Jayaprada, Nassar",Socio Fantasy,23.0/DEC/2016,2016
3933,Pittagoda,Anudeep K. V.,"Vishwadev, Punarnavi Bhupalam",Coming-Of-Age,24.0/DEC/2016,2016
3934,Appatlo Okadundevadu,Saagar K Chandra,"Nara Rohith, Sree Vishnu, Tanya Hope, Rajeev Kanakala, Posani Krishna Murali",Action,30.0/DEC/2016,2016
3935,Karam Dosa,Trivikram Gajulapalli,"Shivakumar Ramachandravarapu, Surya Sreenivas, Y. Kasi Viswanath",Drama-Comedy-Social,30.0/DEC/2016,2016
3936,Intlo Deyyam Nakem Bhayam,G. Nageswara Reddy,"Allari Naresh, Kruthika Jayakumar, Rajendra Prasad",Comedy Horror,30.0/DEC/2016,2016
3937,Nenosta,Parand Kalyan,"Gnan Prakash, Surya Sreenivas, Priyanka Pallavi",Thriller,30.0/DEC/2016,2016
3938,Evaro Tanevaro,S. Babji,"Naveen Gautham, Sarayu, Chalapathi Rao, Priyanka",Horror/thriller,6/JAN/2017,2017
3939,Inkenti Nuvve Cheppu,Siva Sri,"Prashanth Bodetti, Manikanta Sunny, Pujitha, Suman",Romance,6/JAN/2017,2017
3940,No.1 Hero Rajendar Love Stori,Rajendar,"Rajendar, Sri Devi",Romance,6/JAN/2017,2017
3941,Padamati Sandhyaragam London Lo,Vamshi Muniganti,"Mirabel Stuart, Chaitu Shantharam, Shahela Rani",Romantic comedy,6/JAN/2017,2017
3942,Ye Rojaithey Chusaano,G. Bala,"Manoj Nandam, Suma, Smithika Acharya, Monika Singh",Erotic romance,6/JAN/2017,2017
3943,Khaidi No. 150,V.V. Vinayak,"Chiranjeevi, Kajal Aggarwal, Tarun Arora",Action drama,11/JAN/2017,2017
3944,Gautamiputra Satakarni,Krish,"Nandamuri Balakrishna, Shriya Saran, Hema Malini",Historical drama,12/JAN/2017,2017
3945,Head Constable Venkataramaiah,Chadalavada Srinivasa Rao,"R. Narayana Murthy, Jayasudha",Crime drama,14/JAN/2017,2017
3946,Shatamanam Bhavati,Satish Vegesna,"Sharwanand, Anupama Parameswaran, Prakash Raj, Jayasudha",Romantic drama,14/JAN/2017,2017
3947,Luckunnodu,Raj Kiran,"Manchu Vishnu, Hansika Motwani",Action/ Comedy,26/JAN/2017,2017
3948,Nenu Local,Trinadha Rao Nakkina,"Nani, Keerthy Suresh, Naveen Chandra, Sachin Khedekar",Romantic Comedy,3/FEB/2017,2017
3949,Ika..Se..Love,Dungroth Nagaraj,"Sai Ravi, Deepthi",Romance,10/FEB/2017,2017
3950,Om Namo Venkatesaya,K. Raghavendra Rao,"Nagarjuna Akkineni, Anushka Shetty, Jagapathi Babu, Saurabh Raj Jain",Devotional-Biographical,10/FEB/2017,2017
3951,Ghazi,Sankalp Reddy,"Daggubati Rana, Taapsee Pannu, Kay Kay Menon, Atul Kulkarni",War,17/FEB/2017,2017
3952,Vajralu Kavala Nayana,Radha Krishna,"Anil Buragani, Nikitha Bhist, Kasi Sivakumar",Comedy,17/FEB/2017,2017
3953,C/o Godavari,Raja Rammohan,"Deepu Naidu, Rohit Sirigiri, Shruthi Varma, Posani Krishna Murali, Prabhas Sreenu, Suman",Drama,24/FEB/2017,2017
3954,Winner,Gopichand Malineni,"Sai Dharam Tej, Rakul Preet Singh, Jagapati Babu",Action,24/FEB/2017,2017
3955,Dwaraka,Srinivas Ravindra,"Vijay Deverakonda, Pooja Jhaveri, Prakash Raj, Prudhviraj, Murali Sharma",Romance,3/MAR/2017,2017
3956,Gunturodu,S. K. Satya,"Manchu Manoj, Pragya Jaiswal, Rajendra Prasad, Sampath Raj, Kota Srinivasa Rao",Romance / Action,3/MAR/2017,2017
3957,Kittu Unnadu Jagratha,Vamsi Krishna,"Raj Tarun, Anu Emmanuel, Arbaaz Khan",Romance / Action,3/MAR/2017,2017
3958,Aakatayi,Rom Bhimana,"Aashish Raj, Rukshar Mir, Suman, Pradeep Rawat, Posani Krishna Murali, Brahmanandam",Action,10/MAR/2017,2017
3959,Chitrangada,G. Ashok,"Anjali, Sakshi Gulati, Saptagiri, Raja Ravindra",Comedy thriller,10/MAR/2017,2017
3960,Lakshmi Bomb,Karthikeya Gopalakrishna,"Lakshmi Manchu, Prabhakar, Posani Krishna Murali, Hema, Bharath Reddy",Comedy,10/MAR/2017,2017
3961,Happy Birthday,Pallela Veerareddy,"Chennamaneni Sridhar, Jyoti Sethi, Sanjjanaa, Sravan Raghavendra",Thriller,17/MAR/2017,2017
3962,Maa Abbayi,Kumar Vatti,"Sree Vishnu, Chitra Shukla",Romance,17/MAR/2017,2017
3963,Nenorakam,Sudharshan Salendra,"Sai Ram Shankar, Reshmi Menon, R. Sarath Kumar",Action,17/MAR/2017,2017
3964,Pichiga Nachav,V. Sesibhushan,"Sanjeev, Chetana Uttej, Nandu, Karunya",Romance,17/MAR/2017,2017
3965,Katamarayudu,Kishore Kumar Pardasani,"Pawan Kalyan, Shruti Hassan, Tarun Arora",Action,24/MAR/2017,2017
3966,Kannayya,Vipul,"Vipul, Harshita Singh Panwar",Romantic drama,24/MAR/2017,2017
3967,Nuvvu Evaro Nenu Evaro,Bhaskar,"Suman Shetty, Meghana Rai",Romance,24/MAR/2017,2017
3968,Cine Mahal - Rojuki 4 Aatalu,Laxman Varma,"Ryan Rahul, Thejaswini, Siddhansh, Jeeva",Drama,31/MAR/2017,2017
3969,Guru,Sudha Kongara Prasad,"Daggubati Venkatesh, Ritika Singh",Action,31/MAR/2017,2017
3970,Rogue,Puri Jagannadh,"Ishaan, Mannara Chopra, Angela Krislinzki, Thakur Anoop Singh, Posani Krishna Murali, Ajaz Khan",Action,31/MAR/2017,2017
3971,Aranyamlo,Sudarshan Reddy Palvai,"Rohit, Shalu, Charan Naidu",Horror,7/APR/2017,2017
3972,Chinni Chinni Asalu Nalo Regene,Santhosh Nelanti,"Keerthi Manu, Sonia Deepti, Pavan, Thagubothu Ramesh",Romance,7/APR/2017,2017
3973,Kathrina Kareena Madyalo Kamalhaasan,Ratna Korepally,"Mamatha Rahuth, Sasanka Mouli, Chithram Sreenu",Comedy,7/APR/2017,2017
3974,Lakshmi Devi Samarpinchu Nede Chudandi,Jakee Atheek,"Naresh, Aamani, Akhil, Charan, Kiran, Sonu, Poonam, Srikoti, Naga Babu",Fantasy/Comedy,7/APR/2017,2017
3975,Nuvvu Nenu Osey Orey,Ravichandra Kannikanti,"Arjun Mahi, Ashwini, Prudhviraj",Romance,7/APR/2017,2017
3976,Saranam Gacchami,Premaraj Enumula,"Naveen Sanjay, Tanishq Tiwari, Posani Krishna Murali",Drama,7/APR/2017,2017
3977,Mister,Srinu Vaitla,"Varun Tej, Lavanya Tripathi, Hebah Patel",Action,14/APR/2017,2017
3978,Dhada Puttistha,Harish. E,"Vinni Viyan, Neha Deshpande, Harini, Aanya",Romantic thriller,21/APR/2017,2017
3979,Iddari Madhya 18,Nani Acharya,"Ram Karthik, Bhanu Tripatri",Romance,21/APR/2017,2017
3980,Lanka,Sri Muni,"Raasi, Sai Ronak, Ena Saha, Shiju, Supreeth, Leena Siddhu, Satyam Rajesh, Satha, Sudarshan",Thriller,21/APR/2017,2017
3981,Lover Boy,Sanjeev Naidu,"Sanjeev Naidu, Sonia Chowdhary",Romance,21/APR/2017,2017
3982,Baahubali: The Conclusion,S. S. Rajamouli,"Prabhas, Anushka Shetty, Ramya Krishna, Rana Daggubati, Tamannaah, Sathyaraj",Epic/Historical fiction,28/APR/2017,2017
3983,Babu Baga Busy,Naveen Medaram,"Srinivas Avasarala, Tejaswi Madivada, Mishti Chakraborty, Sreemukhi",Comedy,5/MAY/2017,2017
3984,Radha,Chandra Mohan,"Sharwanand, Lavanya Tripathi, Aksha Pardasany",Masala,12/MAY/2017,2017
3985,Rakshaka Bhatudu,Vamsi Krishna Akella,"Richa Panai, Brahmaji, Brahmanandam, Prabhakar",Action-comedy,12/MAY/2017,2017
3986,Venkatapuram,Venu Madikanti,"Rahul Haridas, Mahima Makwana, Ajay",Thriller,12/MAY/2017,2017
3987,Keshava,Sudheer Varma,"Nikhil Siddharth, Ritu Varma, Isha Koppikar, Rao Ramesh",Action thriller,19/MAY/2017,2017
3988,Mixture Potlam,Sathish Kumar M. V.,"Shweta Basu Prasad, Jayanth, Geethanjali Thasya, Posani Krishna Murali, Bhanuchander",Romantic comedy,19/MAY/2017,2017
3989,Tik Tak,Haranath Policherla,"Haranath Policherla, Mounika, Nishi Gandha",Horror,19/MAY/2017,2017
3990,Gopyam,Ballem Venu Madhav,"Tharun Sharma, Indu Priya, Annapoorna",Thriller,26/MAY/2017,2017
3991,Neelimalai,Suryakiran Eladi,"Anand Krishna, Vrushali Gosavi, Ali, Satya Prakash",Romantic drama,26/MAY/2017,2017
3992,O Pilla Nee Valla,Kishore,"Krishna Chaitanya, Rajesh Rathod, Monica Singh",Romance,26/MAY/2017,2017
3993,Rarandoi Veduka Chudham,Kalyan Krishna Kurasala,"Naga Chaitanya, Rakul Preet Singh, Jagapathi Babu, Sampath Raj, Irshad, Vennela Kishore",Romance/Drama,26/MAY/2017,2017
3994,Sriramudinta Srikrishnudanta,Naresh Penta,"Sekhar Varma, Deepthi Shetty, Madhusudhanan Rao, Madhumani Nidu",Romance,26/MAY/2017,2017
3995,Andhhagadu,Veligonda Srinivas,"Raj Tarun, Hebah Patel, Rajendra Prasad, Ashish Vidyarthi, Sayaji Shinde",Romantic/Comedy,2/JUN/2017,2017
3996,Fashion Designer s/o Ladies Tailor,Vamsy,"Sumanth Ashwin, Anisha Ambrose, Manali Rathod, Manasa Himavarsha",Romantic/Comedy,2/JUN/2017,2017
3997,Neelampati Ammoru,Thota Krishnamurthy,"Sai Kiran, Suman, Sri Latha",Drama,2/JUN/2017,2017
3998,Ami Thumi,Mohan Krishna Indraganti,"Srinivas Avasarala, Eesha Rebba, Adivi Sesh, Tanikella Bharani, Vennela Kishore",Comedy,9/JUN/2017,2017
3999,Kaadhali,Pattabhi R. Chilukuri,"Pooja K. Doshi, Sai Ronak, Harish Kalyan, Mohan Raman",Drama,16/JUN/2017,2017
4000,Pelliki Mundu Prema Katha,Madhu Gopu,"Chethan Cheenu, Sunaina, Thagubothu Ramesh",Romance,16/JUN/2017,2017
4001,Raja Meeru Keka,Krishna Kishore,"Taraka Ratna, Revanth, Noel Sean, Lasya",Drama,16/JUN/2017,2017
4002,Duvvada Jagannadham,Harish Shankar,"Allu Arjun, Pooja Hegde",Action Comedy,23/JUN/2017,2017
4003,Jayadev,Jayanth C. Paranjee,"Ganta Ravi, Malvika Raaj, Vinod Kumar, Posani Krishna Murali, Vennela Kishore",Action,30/JUN/2017,2017
4004,Khayyum Bhai,Bharath,"Katta Rambabu, Taraka Ratna, Priya Harshitha",Action,30/JUN/2017,2017
4005,Ninnu Kori,Shiva Nirvana,"Nani, Niveda Thomas, Aadhi Pinisetty, Tanikella Bharani, Murali Sharma, Rajashree, Neetu Chandra",Romance,7/JUL/2017,2017
4006,Rakshasi,Panna Royal,"Abhimanyu Singh, Poorna, Panna Royal, Baby Dhanvi, Thagubothu Ramesh",Horror,7/JUL/2017,2017
4007,Rendu Rellu Aaru,Nandu,"Anil Mallela, Mahima, Aishwarya Gorak, Naresh",Romance,8/JUL/2017,2017
4008,Dr. Chakravarthy,Shekkhar Suri,"Richard Rishi, Sonia Mann, Lena",Thriller,14/JUL/2017,2017
4009,Patel S. I. R.,Vasu Parimi,"Jagapati Babu, Padmapriya Janakiraman, Tanya Hope, Subbaraju, Posani Krishna Murali, Raghu Babu",Action,14/JUL/2017,2017
4010,Shamanthakamani,Sriram Adittya,"Nara Rohit, Sudheer Babu, Sundeep Kishan, Aadi Saikumar, Rajendra Prasad",Action thriller,14/JUL/2017,2017
4011,Fidaa,Sekhar Kammula,"Varun Tej, Sai Pallavi, Satyam Rajesh",Romance,21/JUL/2017,2017
4012,Kala Varam Aaye,Sampath V. Kumar,"Vibheesh, Priyanka Jawalkar, Chandra Mohan, Sanjeev",Romantic drama,21/JUL/2017,2017
4013,Maya Mall,Govind Lalam,"Dilip Kumar, Eesha Rebba, Deeksha Panth, Thagubothu Ramesh",Horror,21/JUL/2017,2017
4014,Vaisakham,Jaya. B,"Harish, Avantika Mishra, Balireddy Pruthviraj",Romance,21/JUL/2017,2017
4015,Goutham Nanda,Sampath Nandi,"Gopichand, Hansika Motwani, Catherine Tresa, Sachin Khedekar, Mukesh Rishi, Nikitin Dheer, Ajay",Action,28/JUL/2017,2017
4016,Naku Nene Thopu Turumu,Sivamani Reddy,"Ashok Sunkara, Manasa Chalapathi Rao, Suman Shetty",Comedy,28/JUL/2017,2017
4017,Darsakudu,Jakka Hari Prasad,"Ashok Bandreddi, Eesha Rebba, Poojitha Ponnada",Romantic drama,4/AUG/2017,2017
4018,Green Card,Rums,"Shatrughna Rayapati, Stephany, Chalapathi Rao",Comedy drama,4/AUG/2017,2017
4019,Idem Deyyam,V. Ravi Varma,"Racha Ravi, Kirak RP, Rachana Smith, Ruchi",Comedy drama,4/AUG/2017,2017
4020,Nakshatram,Krishna Vamsi,"Sundeep Kishan, Sai Dharam Tej, Regina Cassandra, Pragya Jaiswal, Prakash Raj, Tanish",Action,4/AUG/2017,2017
4021,Vasham,Srikanth Challa,"Nanda Kishore, Vasudev Rao, Swethaa Varma",Thriller,4/AUG/2017,2017
4022,LIE,Hanu Raghavapudi,"Nithiin, Arjun Sarja, Megha Akash, Ravi Kishan, Nassar",Thriller,11/AUG/2017,2017
4023,Jaya Janaki Nayaka,Boyapati Srinu,"Bellamkonda Sreenivas, Rakul Preet Singh, Jagapathi Babu, Pragya Jaiswal",Action,11/AUG/2017,2017
4024,Nene Raju Nene Mantri,Teja,"Rana Daggubati, Kajal Aggarwal, Catherine Tresa, Navdeep, Ashutosh Rana, Pradeep Rawat",Political Thriller,11/AUG/2017,2017
4025,Anando Brahma,Mahi V Raghav,"Taapsee Pannu, Srinivasa Reddy, Vennela Kishore, Thagubothu Ramesh, Shakalaka Shankar",Horror Comedy,18/AUG/2017,2017
4026,Prathi Kshanam,G. M. K. Reddy,"Maneesh, Tejaswini Prakash, Veda Sastry",Thriller,18/AUG/2017,2017
